NOME,COGNOME,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29
Antonella,Fiordelisi,161.0,151.0,50.5,111.0,61.0,58.0,15.5,83.5,51.5,127.5,84.5,63.5,37.0,-0.5,21.5,52.5,66.5,46.0,12.5,62.5,12.0,-84.5,124.5,85.5,47.0,15.5,22.5,85.5,91.5,70.0,14.5,34.5,-17.5
Antonino,Spinalbese,61.5,29.5,17.0,42.0,53.5,6.0,59.0,42.5,50.0,7.5,27.5,51.5,42.0,40.5,22.5,14.0,40.5,71.0,26.5,77.5,-50.5,5.5,26.0,125.5,-26.0,32.0,-3.5,9.0,25.5,21.0,1.5,-218.5,12.5
Attilio,Romita,1.5,7.0,0.0,12.0,7.0,1.5,3.5,30.0,5.5,0.0,28.0,13.0,4.0,34.5,72.0,12.0,7.5,27.0,0.5,1.5,2.0,0.0,-1.0,-2.0,-0.5,1.0,10.5,-0.5,97.5,17.0,0.0,-6.5,-9.0
Charlie,Gnocchi,10.0,-9.5,7.5,1.0,4.0,6.5,87.5,68.0,10.5,2.0,5.5,19.5,10.5,10.0,10.0,13.0,9.0,-4.5,0.5,13.5,3.5,0.0,9.0,2.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0
Daniele,Dal Moro,37.5,29.5,82.5,60.5,71.5,14.5,22.5,59.5,64.5,9.0,48.0,22.5,8.5,77.0,84.0,150.0,17.5,207.5,94.0,100.0,54.5,42.5,115.0,6.0,-19.5,38.0,89.5,126.5,135.0,120.0,5.5,37.5,22.5
Edoardo,Donnamaria,0.0,0.5,8.0,1.5,-6.5,6.5,2.5,0.5,3.0,2.0,0.0,-0.5,11.5,-11.0,1.0,-9.5,-7.5,0.5,-2.0,-13.5,0.0,-7.0,2.0,-5.5,0.5,4.0,9.0,0.0,0.0,2.5,0.0,-1.0,-0.5
Edoardo,Tavassi,1.0,2.0,0.0,5.0,9.0,0.5,2.5,-1.0,1.0,-1.0,1.5,0.0,-0.5,0.0,0.0,4.0,0.0,-0.5,-3.0,2.0,0.0,2.0,15.0,1.0,-1.0,-1.0,0.5,0.0,1.5,9.0,0.0,3.0,0.5
George,Ciupilan,5.0,100.0,5.5,33.0,23.0,7.5,46.0,-1.0,9.0,2.5,6.5,22.5,70.0,9.0,5.5,17.5,5.5,0.0,16.5,27.0,53.5,3.5,-12.0,1.0,34.0,3.0,0.0,32.5,-0.5,2.0,0.0,-204.0,-4.5
Luca,Onestini,9.0,9.0,0.0,3.5,4.5,17.5,8.0,8.0,27.5,0.0,3.0,2.5,2.5,14.5,2.5,19.5,-1.0,1.0,12.5,0.0,1.5,0.0,19.0,0.0,6.0,0.0,8.0,6.0,0.5,4.0,4.5,3.0,1.0
Luca,Salatino,6.0,-1.0,0.5,4.0,-2.0,0.5,1.0,10.0,-0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.5,2.5,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Luciano,Punzo,18.5,8.0,0.0,2.0,28.0,0.5,23.0,-1.0,15.5,8.0,4.0,12.0,-5.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,1.0,-1.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.5,0.5
Micol,Incorvaia,-23.0,51.0,21.5,45.0,13.0,-1.0,1.0,25.5,41.0,136.0,44.0,39.5,26.5,66.5,-36.5,53.0,8.5,28.5,14.0,30.0,15.5,-1.5,14.0,-0.5,-5.5,19.0,56.5,45.0,152.0,9.5,8.0,10.0,-77.0
Nikita,Pelizon,202.0,243.0,114.5,208.5,69.5,229.5,97.0,69.5,179.5,10.5,100.0,108.0,57.5,20.5,35.0,88.0,24.5,78.0,59.0,57.5,34.5,9.5,197.5,16.5,52.0,90.0,85.0,137.0,103.5,145.0,20.5,-109.0,19.5
Oriana,Marzioli,68.5,48.0,25.0,26.0,18.5,45.5,36.0,8.5,-2.5,9.0,49.5,-9.0,19.5,36.5,17.5,40.0,28.0,76.5,56.5,-9.0,23.0,0.0,16.0,-1.0,59.0,65.0,45.5,95.0,53.5,129.5,33.5,52.0,-22.5
Patrizia,Rossetti,42.0,22.5,120.5,57.5,7.5,10.0,11.0,2.0,24.5,22.5,14.5,6.5,6.5,-6.0,13.5,31.0,5.0,4.5,3.0,7.0,5.0,0.0,9.5,1.0,1.0,3.0,-1.5,-7.5,-2.0,1.0,2.5,6.5,-2.0
Sarah,Altobelli,7.0,2.0,17.5,0.0,3.5,12.0,0.5,-2.0,11.0,-0.5,11.0,6.0,7.5,5.0,0.0,4.5,1.5,4.5,1.5,-32.0,6.0,0.0,1.0,0.0,7.0,4.0,8.5,0.0,2.5,73.0,27.5,34.5,-5.0
Giaele,De Donà,1.0,26.5,7.5,31.0,18.5,11.5,2.0,17.0,38.0,13.0,30.5,18.0,11.5,0.5,0.5,42.5,6.5,9.0,28.0,24.5,16.5,11.0,12.0,15.5,30.5,46.5,14.0,12.5,-1.0,60.0,0.0,15.5,-12.0
Wilma,Goich,20.5,2.5,30.5,58.5,17.5,23.5,7.0,-5.0,-4.5,14.5,0.0,4.0,-3.5,12.5,17.5,28.5,1.5,6.0,-13.0,-0.5,0.0,-1.0,15.5,2.0,0.5,-1.0,20.5,6.5,13.5,9.0,11.0,15.0,2.5
