Name,Cognome,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo,rank
Antonella,Fiordelisi,0.0,31.0,282.0,58.0,38.0,51.5
Antonino,Spinalbese,1.0,14.0,141.0,62.0,27.0,50.0
Attilio,Romita,21.0,4.0,35.0,9.0,24.0,5.5
Charlie,Gnocchi,2.0,5.0,115.0,20.0,5.0,10.5
Daniele,Dal Moro,0.0,1.0,139.0,48.0,41.0,64.5
Edoardo,Donnamaria,0.0,0.0,7.0,0.0,3.0,3.0
Edoardo,Tavassi,0.0,0.0,7.0,0.0,1.0,1.0
George,Ciupilan,3.0,44.0,267.0,30.0,19.0,9.0
Luca,Onestini,0.0,4.0,6.0,3.0,28.0,27.5
Luca,Salatino,0.0,1.0,3.0,0.0,0.0,-0.5
Luciano,Punzo,0.0,0.0,20.0,11.0,10.0,15.5
Micol,Incorvaia,1.0,20.0,304.0,50.0,27.0,41.0
Nikita,Pelizon,6.0,125.0,635.0,226.0,135.0,179.5
Oriana,Marzioli,75.0,7.0,241.0,42.0,55.0,-2.5
Patrizia,Rossetti,0.0,10.0,76.0,7.0,26.0,24.5
Sarah,Altobelli,2.0,1.0,33.0,5.0,11.0,11.0
Giaele,De Donà,3.0,0.0,37.0,8.0,37.0,38.0
Wilma,Goich,2.0,7.0,4.0,0.0,1.0,-4.5
